,date,start_of_the_year,start_of_the_quarter,start_of_the_month
1381,2015-10-13,2015-01-01,2015-10-01,2015-10-01
1382,2015-10-14,2015-01-01,2015-10-01,2015-10-01
1383,2015-10-15,2015-01-01,2015-10-01,2015-10-01
1384,2015-10-16,2015-01-01,2015-10-01,2015-10-01
1385,2015-10-17,2015-01-01,2015-10-01,2015-10-01
1386,2015-10-18,2015-01-01,2015-10-01,2015-10-01
1387,2015-10-19,2015-01-01,2015-10-01,2015-10-01
1388,2015-10-20,2015-01-01,2015-10-01,2015-10-01
1389,2015-10-21,2015-01-01,2015-10-01,2015-10-01
1390,2015-10-22,2015-01-01,2015-10-01,2015-10-01
1391,2015-10-23,2015-01-01,2015-10-01,2015-10-01
1392,2015-10-24,2015-01-01,2015-10-01,2015-10-01
1393,2015-10-25,2015-01-01,2015-10-01,2015-10-01
1394,2015-10-26,2015-01-01,2015-10-01,2015-10-01
1395,2015-10-27,2015-01-01,2015-10-01,2015-10-01
1396,2015-10-28,2015-01-01,2015-10-01,2015-10-01
1397,2015-10-29,2015-01-01,2015-10-01,2015-10-01
1398,2015-10-30,2015-01-01,2015-10-01,2015-10-01
1399,2015-10-31,2015-01-01,2015-10-01,2015-10-01
1400,2015-11-01,2015-01-01,2015-10-01,2015-11-01
1401,2015-11-02,2015-01-01,2015-10-01,2015-11-01
1402,2015-11-03,2015-01-01,2015-10-01,2015-11-01
1403,2015-11-04,2015-01-01,2015-10-01,2015-11-01
1404,2015-11-05,2015-01-01,2015-10-01,2015-11-01
1405,2015-11-06,2015-01-01,2015-10-01,2015-11-01
1406,2015-11-07,2015-01-01,2015-10-01,2015-11-01
1407,2015-11-08,2015-01-01,2015-10-01,2015-11-01
1408,2015-11-09,2015-01-01,2015-10-01,2015-11-01
1409,2015-11-10,2015-01-01,2015-10-01,2015-11-01
1410,2015-11-11,2015-01-01,2015-10-01,2015-11-01
1411,2015-11-12,2015-01-01,2015-10-01,2015-11-01
1412,2015-11-13,2015-01-01,2015-10-01,2015-11-01
1413,2015-11-14,2015-01-01,2015-10-01,2015-11-01
1414,2015-11-15,2015-01-01,2015-10-01,2015-11-01
1415,2015-11-16,2015-01-01,2015-10-01,2015-11-01
1416,2015-11-17,2015-01-01,2015-10-01,2015-11-01
1417,2015-11-18,2015-01-01,2015-10-01,2015-11-01
1418,2015-11-19,2015-01-01,2015-10-01,2015-11-01
1419,2015-11-20,2015-01-01,2015-10-01,2015-11-01
1420,2015-11-21,2015-01-01,2015-10-01,2015-11-01
1421,2015-11-22,2015-01-01,2015-10-01,2015-11-01
1422,2015-11-23,2015-01-01,2015-10-01,2015-11-01
1423,2015-11-24,2015-01-01,2015-10-01,2015-11-01
1424,2015-11-25,2015-01-01,2015-10-01,2015-11-01
1425,2015-11-26,2015-01-01,2015-10-01,2015-11-01
1426,2015-11-27,2015-01-01,2015-10-01,2015-11-01
1427,2015-11-28,2015-01-01,2015-10-01,2015-11-01
1428,2015-11-29,2015-01-01,2015-10-01,2015-11-01
1429,2015-11-30,2015-01-01,2015-10-01,2015-11-01
1430,2015-12-01,2015-01-01,2015-10-01,2015-12-01
1431,2015-12-02,2015-01-01,2015-10-01,2015-12-01
1432,2015-12-03,2015-01-01,2015-10-01,2015-12-01
1433,2015-12-04,2015-01-01,2015-10-01,2015-12-01
1434,2015-12-05,2015-01-01,2015-10-01,2015-12-01
1435,2015-12-06,2015-01-01,2015-10-01,2015-12-01
1436,2015-12-07,2015-01-01,2015-10-01,2015-12-01
1437,2015-12-08,2015-01-01,2015-10-01,2015-12-01
1438,2015-12-09,2015-01-01,2015-10-01,2015-12-01
1439,2015-12-10,2015-01-01,2015-10-01,2015-12-01
1440,2015-12-11,2015-01-01,2015-10-01,2015-12-01
1441,2015-12-12,2015-01-01,2015-10-01,2015-12-01
1442,2015-12-13,2015-01-01,2015-10-01,2015-12-01
1443,2015-12-14,2015-01-01,2015-10-01,2015-12-01
1444,2015-12-15,2015-01-01,2015-10-01,2015-12-01
1445,2015-12-16,2015-01-01,2015-10-01,2015-12-01
1446,2015-12-17,2015-01-01,2015-10-01,2015-12-01
1447,2015-12-18,2015-01-01,2015-10-01,2015-12-01
1448,2015-12-19,2015-01-01,2015-10-01,2015-12-01
1449,2015-12-20,2015-01-01,2015-10-01,2015-12-01
1450,2015-12-21,2015-01-01,2015-10-01,2015-12-01
1451,2015-12-22,2015-01-01,2015-10-01,2015-12-01
1452,2015-12-23,2015-01-01,2015-10-01,2015-12-01
1453,2015-12-24,2015-01-01,2015-10-01,2015-12-01
1454,2015-12-25,2015-01-01,2015-10-01,2015-12-01
1455,2015-12-26,2015-01-01,2015-10-01,2015-12-01
1456,2015-12-27,2015-01-01,2015-10-01,2015-12-01
1457,2015-12-28,2015-01-01,2015-10-01,2015-12-01
1458,2015-12-29,2015-01-01,2015-10-01,2015-12-01
1459,2015-12-30,2015-01-01,2015-10-01,2015-12-01
1460,2015-12-31,2015-01-01,2015-10-01,2015-12-01
1461,2016-01-01,2016-01-01,2016-01-01,2016-01-01
1462,2016-01-02,2016-01-01,2016-01-01,2016-01-01
1463,2016-01-03,2016-01-01,2016-01-01,2016-01-01
1464,2016-01-04,2016-01-01,2016-01-01,2016-01-01
1465,2016-01-05,2016-01-01,2016-01-01,2016-01-01
1466,2016-01-06,2016-01-01,2016-01-01,2016-01-01
1467,2016-01-07,2016-01-01,2016-01-01,2016-01-01
1468,2016-01-08,2016-01-01,2016-01-01,2016-01-01
1469,2016-01-09,2016-01-01,2016-01-01,2016-01-01
1470,2016-01-10,2016-01-01,2016-01-01,2016-01-01
1471,2016-01-11,2016-01-01,2016-01-01,2016-01-01
1472,2016-01-12,2016-01-01,2016-01-01,2016-01-01
1473,2016-01-13,2016-01-01,2016-01-01,2016-01-01
1474,2016-01-14,2016-01-01,2016-01-01,2016-01-01
1475,2016-01-15,2016-01-01,2016-01-01,2016-01-01
1476,2016-01-16,2016-01-01,2016-01-01,2016-01-01
1477,2016-01-17,2016-01-01,2016-01-01,2016-01-01
1478,2016-01-18,2016-01-01,2016-01-01,2016-01-01
1479,2016-01-19,2016-01-01,2016-01-01,2016-01-01
1480,2016-01-20,2016-01-01,2016-01-01,2016-01-01
1481,2016-01-21,2016-01-01,2016-01-01,2016-01-01
1482,2016-01-22,2016-01-01,2016-01-01,2016-01-01
1483,2016-01-23,2016-01-01,2016-01-01,2016-01-01
1484,2016-01-24,2016-01-01,2016-01-01,2016-01-01
1485,2016-01-25,2016-01-01,2016-01-01,2016-01-01
1486,2016-01-26,2016-01-01,2016-01-01,2016-01-01
1487,2016-01-27,2016-01-01,2016-01-01,2016-01-01
1488,2016-01-28,2016-01-01,2016-01-01,2016-01-01
1489,2016-01-29,2016-01-01,2016-01-01,2016-01-01
1490,2016-01-30,2016-01-01,2016-01-01,2016-01-01
1491,2016-01-31,2016-01-01,2016-01-01,2016-01-01
1492,2016-02-01,2016-01-01,2016-01-01,2016-02-01
1493,2016-02-02,2016-01-01,2016-01-01,2016-02-01
1494,2016-02-03,2016-01-01,2016-01-01,2016-02-01
1495,2016-02-04,2016-01-01,2016-01-01,2016-02-01
1496,2016-02-05,2016-01-01,2016-01-01,2016-02-01
1497,2016-02-06,2016-01-01,2016-01-01,2016-02-01
1498,2016-02-07,2016-01-01,2016-01-01,2016-02-01
1499,2016-02-08,2016-01-01,2016-01-01,2016-02-01
1500,2016-02-09,2016-01-01,2016-01-01,2016-02-01
1501,2016-02-10,2016-01-01,2016-01-01,2016-02-01
1502,2016-02-11,2016-01-01,2016-01-01,2016-02-01
1503,2016-02-12,2016-01-01,2016-01-01,2016-02-01
1504,2016-02-13,2016-01-01,2016-01-01,2016-02-01
1505,2016-02-14,2016-01-01,2016-01-01,2016-02-01
1506,2016-02-15,2016-01-01,2016-01-01,2016-02-01
1507,2016-02-16,2016-01-01,2016-01-01,2016-02-01
1508,2016-02-17,2016-01-01,2016-01-01,2016-02-01
1509,2016-02-18,2016-01-01,2016-01-01,2016-02-01
1510,2016-02-19,2016-01-01,2016-01-01,2016-02-01
1511,2016-02-20,2016-01-01,2016-01-01,2016-02-01
1512,2016-02-21,2016-01-01,2016-01-01,2016-02-01
1513,2016-02-22,2016-01-01,2016-01-01,2016-02-01
1514,2016-02-23,2016-01-01,2016-01-01,2016-02-01
1515,2016-02-24,2016-01-01,2016-01-01,2016-02-01
1516,2016-02-25,2016-01-01,2016-01-01,2016-02-01
1517,2016-02-26,2016-01-01,2016-01-01,2016-02-01
1518,2016-02-27,2016-01-01,2016-01-01,2016-02-01
1519,2016-02-28,2016-01-01,2016-01-01,2016-02-01
1520,2016-02-29,2016-01-01,2016-01-01,2016-02-01
1521,2016-03-01,2016-01-01,2016-01-01,2016-03-01
1522,2016-03-02,2016-01-01,2016-01-01,2016-03-01
1523,2016-03-03,2016-01-01,2016-01-01,2016-03-01
1524,2016-03-04,2016-01-01,2016-01-01,2016-03-01
1525,2016-03-05,2016-01-01,2016-01-01,2016-03-01
1526,2016-03-06,2016-01-01,2016-01-01,2016-03-01
1527,2016-03-07,2016-01-01,2016-01-01,2016-03-01
1528,2016-03-08,2016-01-01,2016-01-01,2016-03-01
1529,2016-03-09,2016-01-01,2016-01-01,2016-03-01
1530,2016-03-10,2016-01-01,2016-01-01,2016-03-01
1531,2016-03-11,2016-01-01,2016-01-01,2016-03-01
1532,2016-03-12,2016-01-01,2016-01-01,2016-03-01
1533,2016-03-13,2016-01-01,2016-01-01,2016-03-01
1534,2016-03-14,2016-01-01,2016-01-01,2016-03-01
1535,2016-03-15,2016-01-01,2016-01-01,2016-03-01
1536,2016-03-16,2016-01-01,2016-01-01,2016-03-01
1537,2016-03-17,2016-01-01,2016-01-01,2016-03-01
1538,2016-03-18,2016-01-01,2016-01-01,2016-03-01
1539,2016-03-19,2016-01-01,2016-01-01,2016-03-01
1540,2016-03-20,2016-01-01,2016-01-01,2016-03-01
1541,2016-03-21,2016-01-01,2016-01-01,2016-03-01
1542,2016-03-22,2016-01-01,2016-01-01,2016-03-01
1543,2016-03-23,2016-01-01,2016-01-01,2016-03-01
1544,2016-03-24,2016-01-01,2016-01-01,2016-03-01
1545,2016-03-25,2016-01-01,2016-01-01,2016-03-01
1546,2016-03-26,2016-01-01,2016-01-01,2016-03-01
1547,2016-03-27,2016-01-01,2016-01-01,2016-03-01
1548,2016-03-28,2016-01-01,2016-01-01,2016-03-01
1549,2016-03-29,2016-01-01,2016-01-01,2016-03-01
1550,2016-03-30,2016-01-01,2016-01-01,2016-03-01
1551,2016-03-31,2016-01-01,2016-01-01,2016-03-01
1552,2016-04-01,2016-01-01,2016-04-01,2016-04-01
1553,2016-04-02,2016-01-01,2016-04-01,2016-04-01
1554,2016-04-03,2016-01-01,2016-04-01,2016-04-01
1555,2016-04-04,2016-01-01,2016-04-01,2016-04-01
1556,2016-04-05,2016-01-01,2016-04-01,2016-04-01
1557,2016-04-06,2016-01-01,2016-04-01,2016-04-01
1558,2016-04-07,2016-01-01,2016-04-01,2016-04-01
1559,2016-04-08,2016-01-01,2016-04-01,2016-04-01
1560,2016-04-09,2016-01-01,2016-04-01,2016-04-01
1561,2016-04-10,2016-01-01,2016-04-01,2016-04-01
1562,2016-04-11,2016-01-01,2016-04-01,2016-04-01
1563,2016-04-12,2016-01-01,2016-04-01,2016-04-01
1564,2016-04-13,2016-01-01,2016-04-01,2016-04-01
1565,2016-04-14,2016-01-01,2016-04-01,2016-04-01
1566,2016-04-15,2016-01-01,2016-04-01,2016-04-01
1567,2016-04-16,2016-01-01,2016-04-01,2016-04-01
1568,2016-04-17,2016-01-01,2016-04-01,2016-04-01
1569,2016-04-18,2016-01-01,2016-04-01,2016-04-01
1570,2016-04-19,2016-01-01,2016-04-01,2016-04-01
1571,2016-04-20,2016-01-01,2016-04-01,2016-04-01
1572,2016-04-21,2016-01-01,2016-04-01,2016-04-01
1573,2016-04-22,2016-01-01,2016-04-01,2016-04-01
1574,2016-04-23,2016-01-01,2016-04-01,2016-04-01
1575,2016-04-24,2016-01-01,2016-04-01,2016-04-01
1576,2016-04-25,2016-01-01,2016-04-01,2016-04-01
1577,2016-04-26,2016-01-01,2016-04-01,2016-04-01
1578,2016-04-27,2016-01-01,2016-04-01,2016-04-01
1579,2016-04-28,2016-01-01,2016-04-01,2016-04-01
1580,2016-04-29,2016-01-01,2016-04-01,2016-04-01
1581,2016-04-30,2016-01-01,2016-04-01,2016-04-01
1582,2016-05-01,2016-01-01,2016-04-01,2016-05-01
1583,2016-05-02,2016-01-01,2016-04-01,2016-05-01
1584,2016-05-03,2016-01-01,2016-04-01,2016-05-01
1585,2016-05-04,2016-01-01,2016-04-01,2016-05-01
1586,2016-05-05,2016-01-01,2016-04-01,2016-05-01
1587,2016-05-06,2016-01-01,2016-04-01,2016-05-01
1588,2016-05-07,2016-01-01,2016-04-01,2016-05-01
1589,2016-05-08,2016-01-01,2016-04-01,2016-05-01
1590,2016-05-09,2016-01-01,2016-04-01,2016-05-01
1591,2016-05-10,2016-01-01,2016-04-01,2016-05-01
1592,2016-05-11,2016-01-01,2016-04-01,2016-05-01
1593,2016-05-12,2016-01-01,2016-04-01,2016-05-01
1594,2016-05-13,2016-01-01,2016-04-01,2016-05-01
1595,2016-05-14,2016-01-01,2016-04-01,2016-05-01
1596,2016-05-15,2016-01-01,2016-04-01,2016-05-01
1597,2016-05-16,2016-01-01,2016-04-01,2016-05-01
1598,2016-05-17,2016-01-01,2016-04-01,2016-05-01
1599,2016-05-18,2016-01-01,2016-04-01,2016-05-01
1600,2016-05-19,2016-01-01,2016-04-01,2016-05-01
1601,2016-05-20,2016-01-01,2016-04-01,2016-05-01
1602,2016-05-21,2016-01-01,2016-04-01,2016-05-01
1603,2016-05-22,2016-01-01,2016-04-01,2016-05-01
1604,2016-05-23,2016-01-01,2016-04-01,2016-05-01
1605,2016-05-24,2016-01-01,2016-04-01,2016-05-01
1606,2016-05-25,2016-01-01,2016-04-01,2016-05-01
1607,2016-05-26,2016-01-01,2016-04-01,2016-05-01
1608,2016-05-27,2016-01-01,2016-04-01,2016-05-01
1609,2016-05-28,2016-01-01,2016-04-01,2016-05-01
1610,2016-05-29,2016-01-01,2016-04-01,2016-05-01
1611,2016-05-30,2016-01-01,2016-04-01,2016-05-01
1612,2016-05-31,2016-01-01,2016-04-01,2016-05-01
1613,2016-06-01,2016-01-01,2016-04-01,2016-06-01
1614,2016-06-02,2016-01-01,2016-04-01,2016-06-01
1615,2016-06-03,2016-01-01,2016-04-01,2016-06-01
1616,2016-06-04,2016-01-01,2016-04-01,2016-06-01
1617,2016-06-05,2016-01-01,2016-04-01,2016-06-01
1618,2016-06-06,2016-01-01,2016-04-01,2016-06-01
1619,2016-06-07,2016-01-01,2016-04-01,2016-06-01
1620,2016-06-08,2016-01-01,2016-04-01,2016-06-01
1621,2016-06-09,2016-01-01,2016-04-01,2016-06-01
1622,2016-06-10,2016-01-01,2016-04-01,2016-06-01
1623,2016-06-11,2016-01-01,2016-04-01,2016-06-01
1624,2016-06-12,2016-01-01,2016-04-01,2016-06-01
1625,2016-06-13,2016-01-01,2016-04-01,2016-06-01
1626,2016-06-14,2016-01-01,2016-04-01,2016-06-01
1627,2016-06-15,2016-01-01,2016-04-01,2016-06-01
1628,2016-06-16,2016-01-01,2016-04-01,2016-06-01
1629,2016-06-17,2016-01-01,2016-04-01,2016-06-01
1630,2016-06-18,2016-01-01,2016-04-01,2016-06-01
1631,2016-06-19,2016-01-01,2016-04-01,2016-06-01
1632,2016-06-20,2016-01-01,2016-04-01,2016-06-01
1633,2016-06-21,2016-01-01,2016-04-01,2016-06-01
1634,2016-06-22,2016-01-01,2016-04-01,2016-06-01
1635,2016-06-23,2016-01-01,2016-04-01,2016-06-01
1636,2016-06-24,2016-01-01,2016-04-01,2016-06-01
1637,2016-06-25,2016-01-01,2016-04-01,2016-06-01
1638,2016-06-26,2016-01-01,2016-04-01,2016-06-01
1639,2016-06-27,2016-01-01,2016-04-01,2016-06-01
1640,2016-06-28,2016-01-01,2016-04-01,2016-06-01
1641,2016-06-29,2016-01-01,2016-04-01,2016-06-01
1642,2016-06-30,2016-01-01,2016-04-01,2016-06-01
1643,2016-07-01,2016-01-01,2016-07-01,2016-07-01
1644,2016-07-02,2016-01-01,2016-07-01,2016-07-01
1645,2016-07-03,2016-01-01,2016-07-01,2016-07-01
1646,2016-07-04,2016-01-01,2016-07-01,2016-07-01
1647,2016-07-05,2016-01-01,2016-07-01,2016-07-01
1648,2016-07-06,2016-01-01,2016-07-01,2016-07-01
1649,2016-07-07,2016-01-01,2016-07-01,2016-07-01
1650,2016-07-08,2016-01-01,2016-07-01,2016-07-01
1651,2016-07-09,2016-01-01,2016-07-01,2016-07-01
1652,2016-07-10,2016-01-01,2016-07-01,2016-07-01
1653,2016-07-11,2016-01-01,2016-07-01,2016-07-01
1654,2016-07-12,2016-01-01,2016-07-01,2016-07-01
1655,2016-07-13,2016-01-01,2016-07-01,2016-07-01
1656,2016-07-14,2016-01-01,2016-07-01,2016-07-01
1657,2016-07-15,2016-01-01,2016-07-01,2016-07-01
1658,2016-07-16,2016-01-01,2016-07-01,2016-07-01
1659,2016-07-17,2016-01-01,2016-07-01,2016-07-01
1660,2016-07-18,2016-01-01,2016-07-01,2016-07-01
1661,2016-07-19,2016-01-01,2016-07-01,2016-07-01
1662,2016-07-20,2016-01-01,2016-07-01,2016-07-01
1663,2016-07-21,2016-01-01,2016-07-01,2016-07-01
1664,2016-07-22,2016-01-01,2016-07-01,2016-07-01
1665,2016-07-23,2016-01-01,2016-07-01,2016-07-01
1666,2016-07-24,2016-01-01,2016-07-01,2016-07-01
1667,2016-07-25,2016-01-01,2016-07-01,2016-07-01
1668,2016-07-26,2016-01-01,2016-07-01,2016-07-01
1669,2016-07-27,2016-01-01,2016-07-01,2016-07-01
1670,2016-07-28,2016-01-01,2016-07-01,2016-07-01
1671,2016-07-29,2016-01-01,2016-07-01,2016-07-01
1672,2016-07-30,2016-01-01,2016-07-01,2016-07-01
1673,2016-07-31,2016-01-01,2016-07-01,2016-07-01
1674,2016-08-01,2016-01-01,2016-07-01,2016-08-01
1675,2016-08-02,2016-01-01,2016-07-01,2016-08-01
1676,2016-08-03,2016-01-01,2016-07-01,2016-08-01
1677,2016-08-04,2016-01-01,2016-07-01,2016-08-01
1678,2016-08-05,2016-01-01,2016-07-01,2016-08-01
1679,2016-08-06,2016-01-01,2016-07-01,2016-08-01
1680,2016-08-07,2016-01-01,2016-07-01,2016-08-01
1681,2016-08-08,2016-01-01,2016-07-01,2016-08-01
1682,2016-08-09,2016-01-01,2016-07-01,2016-08-01
1683,2016-08-10,2016-01-01,2016-07-01,2016-08-01
1684,2016-08-11,2016-01-01,2016-07-01,2016-08-01
1685,2016-08-12,2016-01-01,2016-07-01,2016-08-01
1686,2016-08-13,2016-01-01,2016-07-01,2016-08-01
1687,2016-08-14,2016-01-01,2016-07-01,2016-08-01
1688,2016-08-15,2016-01-01,2016-07-01,2016-08-01
1689,2016-08-16,2016-01-01,2016-07-01,2016-08-01
1690,2016-08-17,2016-01-01,2016-07-01,2016-08-01
1691,2016-08-18,2016-01-01,2016-07-01,2016-08-01
1692,2016-08-19,2016-01-01,2016-07-01,2016-08-01
1693,2016-08-20,2016-01-01,2016-07-01,2016-08-01
1694,2016-08-21,2016-01-01,2016-07-01,2016-08-01
1695,2016-08-22,2016-01-01,2016-07-01,2016-08-01
1696,2016-08-23,2016-01-01,2016-07-01,2016-08-01
1697,2016-08-24,2016-01-01,2016-07-01,2016-08-01
1698,2016-08-25,2016-01-01,2016-07-01,2016-08-01
1699,2016-08-26,2016-01-01,2016-07-01,2016-08-01
1700,2016-08-27,2016-01-01,2016-07-01,2016-08-01
1701,2016-08-28,2016-01-01,2016-07-01,2016-08-01
1702,2016-08-29,2016-01-01,2016-07-01,2016-08-01
1703,2016-08-30,2016-01-01,2016-07-01,2016-08-01
1704,2016-08-31,2016-01-01,2016-07-01,2016-08-01
1705,2016-09-01,2016-01-01,2016-07-01,2016-09-01
1706,2016-09-02,2016-01-01,2016-07-01,2016-09-01
1707,2016-09-03,2016-01-01,2016-07-01,2016-09-01
1708,2016-09-04,2016-01-01,2016-07-01,2016-09-01
1709,2016-09-05,2016-01-01,2016-07-01,2016-09-01
1710,2016-09-06,2016-01-01,2016-07-01,2016-09-01
1711,2016-09-07,2016-01-01,2016-07-01,2016-09-01
1712,2016-09-08,2016-01-01,2016-07-01,2016-09-01
1713,2016-09-09,2016-01-01,2016-07-01,2016-09-01
1714,2016-09-10,2016-01-01,2016-07-01,2016-09-01
1715,2016-09-11,2016-01-01,2016-07-01,2016-09-01
1716,2016-09-12,2016-01-01,2016-07-01,2016-09-01
1717,2016-09-13,2016-01-01,2016-07-01,2016-09-01
1718,2016-09-14,2016-01-01,2016-07-01,2016-09-01
1719,2016-09-15,2016-01-01,2016-07-01,2016-09-01
1720,2016-09-16,2016-01-01,2016-07-01,2016-09-01
1721,2016-09-17,2016-01-01,2016-07-01,2016-09-01
1722,2016-09-18,2016-01-01,2016-07-01,2016-09-01
1723,2016-09-19,2016-01-01,2016-07-01,2016-09-01
1724,2016-09-20,2016-01-01,2016-07-01,2016-09-01
1725,2016-09-21,2016-01-01,2016-07-01,2016-09-01
1726,2016-09-22,2016-01-01,2016-07-01,2016-09-01
1727,2016-09-23,2016-01-01,2016-07-01,2016-09-01
1728,2016-09-24,2016-01-01,2016-07-01,2016-09-01
1729,2016-09-25,2016-01-01,2016-07-01,2016-09-01
1730,2016-09-26,2016-01-01,2016-07-01,2016-09-01
1731,2016-09-27,2016-01-01,2016-07-01,2016-09-01
1732,2016-09-28,2016-01-01,2016-07-01,2016-09-01
1733,2016-09-29,2016-01-01,2016-07-01,2016-09-01
1734,2016-09-30,2016-01-01,2016-07-01,2016-09-01
1735,2016-10-01,2016-01-01,2016-10-01,2016-10-01
1736,2016-10-02,2016-01-01,2016-10-01,2016-10-01
1737,2016-10-03,2016-01-01,2016-10-01,2016-10-01
1738,2016-10-04,2016-01-01,2016-10-01,2016-10-01
1739,2016-10-05,2016-01-01,2016-10-01,2016-10-01
1740,2016-10-06,2016-01-01,2016-10-01,2016-10-01
1741,2016-10-07,2016-01-01,2016-10-01,2016-10-01
1742,2016-10-08,2016-01-01,2016-10-01,2016-10-01
1743,2016-10-09,2016-01-01,2016-10-01,2016-10-01
1744,2016-10-10,2016-01-01,2016-10-01,2016-10-01
1745,2016-10-11,2016-01-01,2016-10-01,2016-10-01
1746,2016-10-12,2016-01-01,2016-10-01,2016-10-01
1747,2016-10-13,2016-01-01,2016-10-01,2016-10-01
1748,2016-10-14,2016-01-01,2016-10-01,2016-10-01
1749,2016-10-15,2016-01-01,2016-10-01,2016-10-01
1750,2016-10-16,2016-01-01,2016-10-01,2016-10-01
1751,2016-10-17,2016-01-01,2016-10-01,2016-10-01
1752,2016-10-18,2016-01-01,2016-10-01,2016-10-01
1753,2016-10-19,2016-01-01,2016-10-01,2016-10-01
1754,2016-10-20,2016-01-01,2016-10-01,2016-10-01
1755,2016-10-21,2016-01-01,2016-10-01,2016-10-01
1756,2016-10-22,2016-01-01,2016-10-01,2016-10-01
1757,2016-10-23,2016-01-01,2016-10-01,2016-10-01
1758,2016-10-24,2016-01-01,2016-10-01,2016-10-01
1759,2016-10-25,2016-01-01,2016-10-01,2016-10-01
1760,2016-10-26,2016-01-01,2016-10-01,2016-10-01
1761,2016-10-27,2016-01-01,2016-10-01,2016-10-01
1762,2016-10-28,2016-01-01,2016-10-01,2016-10-01
1763,2016-10-29,2016-01-01,2016-10-01,2016-10-01
1764,2016-10-30,2016-01-01,2016-10-01,2016-10-01
1765,2016-10-31,2016-01-01,2016-10-01,2016-10-01
1766,2016-11-01,2016-01-01,2016-10-01,2016-11-01
1767,2016-11-02,2016-01-01,2016-10-01,2016-11-01
1768,2016-11-03,2016-01-01,2016-10-01,2016-11-01
1769,2016-11-04,2016-01-01,2016-10-01,2016-11-01
1770,2016-11-05,2016-01-01,2016-10-01,2016-11-01
1771,2016-11-06,2016-01-01,2016-10-01,2016-11-01
1772,2016-11-07,2016-01-01,2016-10-01,2016-11-01
1773,2016-11-08,2016-01-01,2016-10-01,2016-11-01
1774,2016-11-09,2016-01-01,2016-10-01,2016-11-01
1775,2016-11-10,2016-01-01,2016-10-01,2016-11-01
1776,2016-11-11,2016-01-01,2016-10-01,2016-11-01
1777,2016-11-12,2016-01-01,2016-10-01,2016-11-01
1778,2016-11-13,2016-01-01,2016-10-01,2016-11-01
1779,2016-11-14,2016-01-01,2016-10-01,2016-11-01
1780,2016-11-15,2016-01-01,2016-10-01,2016-11-01
1781,2016-11-16,2016-01-01,2016-10-01,2016-11-01
1782,2016-11-17,2016-01-01,2016-10-01,2016-11-01
1783,2016-11-18,2016-01-01,2016-10-01,2016-11-01
1784,2016-11-19,2016-01-01,2016-10-01,2016-11-01
1785,2016-11-20,2016-01-01,2016-10-01,2016-11-01
1786,2016-11-21,2016-01-01,2016-10-01,2016-11-01
1787,2016-11-22,2016-01-01,2016-10-01,2016-11-01
1788,2016-11-23,2016-01-01,2016-10-01,2016-11-01
1789,2016-11-24,2016-01-01,2016-10-01,2016-11-01
1790,2016-11-25,2016-01-01,2016-10-01,2016-11-01
1791,2016-11-26,2016-01-01,2016-10-01,2016-11-01
1792,2016-11-27,2016-01-01,2016-10-01,2016-11-01
1793,2016-11-28,2016-01-01,2016-10-01,2016-11-01
1794,2016-11-29,2016-01-01,2016-10-01,2016-11-01
1795,2016-11-30,2016-01-01,2016-10-01,2016-11-01
1796,2016-12-01,2016-01-01,2016-10-01,2016-12-01
1797,2016-12-02,2016-01-01,2016-10-01,2016-12-01
1798,2016-12-03,2016-01-01,2016-10-01,2016-12-01
1799,2016-12-04,2016-01-01,2016-10-01,2016-12-01
1800,2016-12-05,2016-01-01,2016-10-01,2016-12-01
1801,2016-12-06,2016-01-01,2016-10-01,2016-12-01
1802,2016-12-07,2016-01-01,2016-10-01,2016-12-01
1803,2016-12-08,2016-01-01,2016-10-01,2016-12-01
1804,2016-12-09,2016-01-01,2016-10-01,2016-12-01
1805,2016-12-10,2016-01-01,2016-10-01,2016-12-01
1806,2016-12-11,2016-01-01,2016-10-01,2016-12-01
1807,2016-12-12,2016-01-01,2016-10-01,2016-12-01
1808,2016-12-13,2016-01-01,2016-10-01,2016-12-01
1809,2016-12-14,2016-01-01,2016-10-01,2016-12-01
1810,2016-12-15,2016-01-01,2016-10-01,2016-12-01
1811,2016-12-16,2016-01-01,2016-10-01,2016-12-01
1812,2016-12-17,2016-01-01,2016-10-01,2016-12-01
1813,2016-12-18,2016-01-01,2016-10-01,2016-12-01
1814,2016-12-19,2016-01-01,2016-10-01,2016-12-01
1815,2016-12-20,2016-01-01,2016-10-01,2016-12-01
1816,2016-12-21,2016-01-01,2016-10-01,2016-12-01
1817,2016-12-22,2016-01-01,2016-10-01,2016-12-01
1818,2016-12-23,2016-01-01,2016-10-01,2016-12-01
1819,2016-12-24,2016-01-01,2016-10-01,2016-12-01
1820,2016-12-25,2016-01-01,2016-10-01,2016-12-01
1821,2016-12-26,2016-01-01,2016-10-01,2016-12-01
1822,2016-12-27,2016-01-01,2016-10-01,2016-12-01
1823,2016-12-28,2016-01-01,2016-10-01,2016-12-01
1824,2016-12-29,2016-01-01,2016-10-01,2016-12-01
1825,2016-12-30,2016-01-01,2016-10-01,2016-12-01
1826,2016-12-31,2016-01-01,2016-10-01,2016-12-01
1827,2017-01-01,2017-01-01,2017-01-01,2017-01-01
1828,2017-01-02,2017-01-01,2017-01-01,2017-01-01
1829,2017-01-03,2017-01-01,2017-01-01,2017-01-01
1830,2017-01-04,2017-01-01,2017-01-01,2017-01-01
